Giornata;Data;Squadra;FantaPunti
20;;Bristol Rovers;79.00
20;;Ajajax Brazorf;76.50
20;;Scarsenal;74.00
20;;Divano Kiev;70.50
20;;Hellas Madonna;70.00
20;;Mignottingham;69.00
20;;Team Bubi;66.50
20;;A.C Ughina;66.00
