Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta;ModificatoreDifesaCasa;ModificatoreCentrocampoCasa;ModificatoreAttaccoCasa;ModificatoreDifesaTrasferta;ModificatoreCentrocampoTrasferta;ModificatoreAttaccoTrasferta
1;7 Gen 2023;Scarsenal;70.75;1 - 1;F.O.C A.C Cina;71.25;;;;+0.5;;
1;7 Gen 2023;Boboreal in Ghiacc;70.25;1 - 1;Cleveland Cadavers;69.25;;;;;+1.5;
1;7 Gen 2023;Peppe Team;80.75;3 - 1;Quack Quack Team;69.5;;+1.5;;;;
1;7 Gen 2023;Mignottingham;69.5;1 - 2;No Go(o)d Team;75.75;+1;;;;+1.5;
