Squadra;FantaPunti;
"F.O.C A.C Cina";2459,5;
"Cleveland Cadavers";2449;
Mignottingham;2432;
"Boboreal in Ghiacc";2427,5;
"Massa Carera";2402,25;
"Quack Quack Team";2399,5;
"A.C.Quario di Venezia";2395;
"No Go(o)d Team";2374,75;
"Peppe Team";2365;
Scarsenal;2363,75;
