Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;PG
Mignottingham;61;18;7;9;58;45;2475,75;34;
"Peppe Team";61;18;7;9;47;38;2385,75;34;
"Boboreal in Ghiacc";52;15;7;12;53;36;2443;34;
"F.O.C A.C Cina";50;15;5;14;59;57;2475;34;
"A.C.Quario di Venezia";50;15;5;14;45;54;2402;34;
"Cleveland Cadavers";49;13;10;11;52;46;2449,25;34;
"Quack Quack Team";43;11;10;13;46;47;2402,25;34;
"Massa Carera";37;8;13;13;50;55;2417,5;34;
Scarsenal;35;8;11;15;39;52;2378,25;34;
"No Go(o)d Team";31;8;7;19;40;59;2388,5;34;
