Girone;Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;Extra
1;Mignottingham;13;3;4;1;16;13;604,25;
1;"Quack Quack Team";11;3;2;3;11;12;580,5;
1;"Massa Carera";11;3;2;3;12;13;570,5;
1;"Boboreal in Ghiacc";10;3;1;4;13;14;577,75;
1;"Cleveland Cadavers";10;3;1;4;12;12;568,75;
2;"No Go(o)d Team";14;4;2;2;12;11;581;
2;Scarsenal;14;4;2;2;12;7;575,5;
2;"F.O.C A.C Cina";13;4;1;3;18;11;604,25;
2;"Peppe Team";11;3;2;3;10;12;565,75;
2;"A.C.Quario di Venezia";4;1;1;6;4;15;525;
