Squadra;FantaPunti;
"Massa Carera";89,5;
"Cleveland Cadavers";89;
Mignottingham;87,75;
"Quack Quack Team";86,25;
"Boboreal in Ghiacc";84,5;
"F.O.C A.C Cina";84,25;
"A.C.Quario di Venezia";84,25;
Scarsenal;80,5;
"Peppe Team";78,5;
"No Go(o)d Team";77,75;
