Squadra;FantaPunti;
"F.O.C A.C Cina";Stanis;
"Cleveland Cadavers";Crio;
Mignottingham;Rob;
"Boboreal in Ghiacc";Bobone;
"Massa Carera";Dom;
"Quack Quack Team";Eeed;
"A.C.Quario di Venezia";Gerry;
"No Go(o)d Team";Oleh;
"Peppe Team";Bepi;
Scarsenal;Dani;
"Boboreal in Ghiacc";Ghiacc;
"Cleveland Cadavers";Marco;
