Giornata;Data;Squadra;FantaPunti;ModificatoreDifesa;ModificatoreCentrocampo;ModificatoreAttacco
1;;A.S. Bruma;81.50;;;
1;;Peppe Team;80.25;;;
1;;Mignottingham;77.25;;;
1;;CagaSbunra;75.25;+1.5;;
1;;S.D.P.Longobarda;71.75;;;
1;;F.O.C A.C Cina;70.25;+1.5;;
1;;Quack Quack Team;68.75;+1;;
1;;Scarsenal : No good edition;68.25;;;
