Giornata;Data;Squadra;FantaPunti
17;;Bristol Rovers;86.50
17;;Hellas Madonna;85.50
17;;Mignottingham;78.50
17;;Scarsenal;75.50
17;;Ajajax Brazorf;75.00
17;;Team Bubi;74.50
17;;Divano Kiev;71.00
17;;A.C Ughina;66.50
