Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta;ModificatoreDifesaCasa;ModificatoreCentrocampoCasa;ModificatoreAttaccoCasa;ModificatoreDifesaTrasferta;ModificatoreCentrocampoTrasferta;ModificatoreAttaccoTrasferta
1;28 Apr 2023;Scarsenal;70.5;2 - 1;Mignottingham;66;;+1;-0.5;+0.5;;
1;28 Apr 2023;No Go(o)d Team;70.25;1 - 1;Quack Quack Team;69;;+1.5;;+1;;
