Giornata;Data;Squadra;FantaPunti;ModificatoreDifesa;ModificatoreCentrocampo;ModificatoreAttacco
8;;MichelleComo1907;82.00;;;
8;;FC SIGONELLA;76.50;;;
8;;PACCIANINAIKOS;73.50;;;
8;;Blackjack e squillo di lusso SPA;73.25;+0.5;;
8;;F.O.C A.C Ina;71.25;;;
8;;Zapata sui piedi FC;69.25;+1.5;;-0.5
8;;Mignottingham;68.50;+1;;
8;;Quack Quack Team;67.50;+1.5;;-0.5
8;;Al Hito;66.25;;;
8;;Cagasbunra;61.75;;;-1
