Girone;Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;Extra
-;"Scarsenal : No good edition";0;0;0;0;0;0;100,25;
-;CagaSbunra;0;0;0;0;0;0;84,25;
-;S.D.P.Longobarda;0;0;0;0;0;0;84;
-;"Peppe Team";0;0;0;0;0;0;83;
-;"F.O.C A.C Cina";0;0;0;0;0;0;82,25;
-;"A.S. Bruma";0;0;0;0;0;0;81,5;
-;"Quack Quack Team";0;0;0;0;0;0;80,25;
-;Mignottingham;0;0;0;0;0;0;78,75;
