Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;PG
Peppe Team;61;18;7;10;59;43;2556,5;35
CagaSbunra;58;17;7;11;64;49;2566,25;35
Quack Quack Team;57;17;6;12;53;45;2520;35
S.D.P.Longobarda;54;14;12;9;60;57;2545,5;35
Mignottingham;47;12;11;12;54;53;2530;35
F.O.C A.C Cina;38;10;8;17;49;64;2498,25;35
A.S. Bruma;38;11;5;19;36;55;2409,75;35
Scarsenal : No good edition;36;10;6;19;46;55;2468,75;35
