Girone;Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;Extra
1;S.D.P.Longobarda;12;3;3;0;14;10;461,75;
1;Quack Quack Team;8;2;2;2;8;10;428;
1;A.S. Bruma;7;2;1;3;10;11;427,25;
1;F.O.C A.C Cina;5;1;2;3;11;12;448,25;
2;Peppe Team;11;3;2;1;14;8;451,5;
2;Scarsenal : No good edition;10;3;1;2;11;10;441;
2;CagaSbunra;6;1;3;2;12;14;444,75;
2;Mignottingham;4;0;4;2;11;16;440,75;
