Squadra;FantaPunti
CagaSbunra;2619
Peppe Team;2614,25
S.D.P.Longobarda;2595,75
Mignottingham;2594,75
F.O.C A.C Cina;2554,5
Quack Quack Team;2545,75
Scarsenal : No good edition;2524,5
A.S. Bruma;2477,25
