Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6.5;imgBonus size-s imgBonus_2;369
Titolare;Muldur;D;5.5;;2107
Titolare;Yoshida;D;6.5;;2182
Titolare;Vojvoda;D;6.5;;2292
Titolare;Letizia;D;5.5;;595
Titolare;Jankto;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;257
Titolare;Tameze;C;6.5;;2180
Titolare;Rog;C;5;;1332
Titolare;Lapadula;A;7;imgBonus size-s imgBonus_1;1264
Titolare;Pedro;A;7;imgBonus size-s imgBonus_1;2289
Titolare;Ronaldo C.;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1775
Riserva;Cordaz;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Gyasi;A;5.5;;2266
Riserva;Ricci M.;C;5.5;;2258
Riserva;Barak;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1622
Riserva;Ghiglione;D;;;745
Riserva;Gagliolo;D;6;;594
Riserva;Nkoulou;D;5;imgBonus size-s imgBonus_6;1633
