Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta;ModificatoreDifesaCasa;ModificatoreCentrocampoCasa;ModificatoreAttaccoCasa;ModificatoreDifesaTrasferta;ModificatoreCentrocampoTrasferta;ModificatoreAttaccoTrasferta
1;12 Mag 2023;Peppe Team;68;1 - 0;F.O.C A.C Cina;64.25;+0.5;+1;;;;
1;12 Mag 2023;Massa Carera;65.5;0 - 0;Boboreal in Ghiacc;59.5;;+1.5;;+0.5;;-1
