Giornata;Data;Squadra;FantaPunti
23;;Hellas Madonna;78.00
23;;Bristol Rovers;77.50
23;;Team Bubi;77.50
23;;A.C Ughina;77.00
23;;Scarsenal;74.00
23;;Divano Kiev;73.00
23;;Mignottingham;65.00
23;;Ajajax Brazorf;63.50
