Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;18 Lug 2020;Team Bubi;69.5;1 - 2;Divano Kiev;73.5
1;18 Lug 2020;Mignottingham;65;0 - 2;Hellas Madonna;73.5
