Giornata;Data;Squadra;FantaPunti
8;;Bristol Rovers;79.50
8;;Hellas Madonna;79.50
8;;Scarsenal;79.00
8;;A.C Ughina;77.00
8;;Ajajax Brazorf;73.00
8;;Mignottingham;72.00
8;;Divano Kiev;72.00
8;;Team Bubi;69.00
