Girone;Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;Extra
1;"Capezzoli Innevati";21;7;0;1;17;6;600;
1;"Quack Quack Team";13;4;1;3;18;15;614,5;
1;Birrareal;10;3;1;4;9;14;562;
1;LosPiscoLakers;7;2;1;5;7;11;541;
1;Mignottingham;6;1;3;4;7;12;542;
2;"F.O.C A.C Cina";17;5;2;1;11;5;568;
2;"A.S. Temio";16;5;1;2;12;8;569;
2;"No Good Team";8;2;2;4;12;12;572,5;
2;Scarsenal;7;1;4;3;11;15;562,5;
2;"Tettenham hotsbur";7;2;1;5;6;12;531;
