Squadra;FantaPunti;
"Quack Quack Team";2840;
"No Good Team";2789;
"A.S. Temio";2786,5;
"F.O.C A.C Cina";2786;
"Capezzoli Innevati";2777,5;
Scarsenal;2752,5;
Birrareal;2717;
LosPiscoLakers;2683,5;
"Tettenham hotsbur";2626,5;
Mignottingham;2609,5;
