Squadra;FantaPunti;
"F.O.C A.C Cina";Stanis;
"No Good Team";Oleh;
"Quack Quack Team";Eeed;
"A.S. Temio";Dom;
"Capezzoli Innevati";Gerry;
"Tettenham hotsbur";Marco;
Scarsenal;Dani;
Birrareal;Baaais;
Mignottingham;Rob;
LosPiscoLakers;Crio;
