Giornata;Data;Squadra;FantaPunti
28;;Team Bubi;84.50
28;;Mignottingham;81.50
28;;Hellas Madonna;76.00
28;;Bristol Rovers;74.50
28;;Scarsenal;74.50
28;;Divano Kiev;71.50
28;;Ajajax Brazorf;67.50
28;;A.C Ughina;62.00
