Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_5;2746
Riserva;Dimarco;D;;;599
Titolare;Danilo;D;6;;2096
Titolare;Bastoni A.;D;7;imgBonus size-s imgBonus_9;1389
Riserva;Yildiz;C;;;2952
Titolare;Candreva;C;5.5;imgBonus size-s imgBonus_9;33
Titolare;Loftus Cheek;C;6.5;;3077
Titolare;Ferguson;C;5.75;;2783
Titolare;Suslov;C;6.25;imgBonus size-s imgBonus_9;3231
Riserva;Martinez L.;A;;;1747
Titolare;Zirkzee;A;6;imgBonus size-s imgBonus_6;2438
Riserva;Rui Patricio;P;;;2508
Titolare;Milik;A;6.5;imgBonus size-s imgBonus_1;1296
Riserva;Banda;A;5.5;imgBonus size-s imgBonus_6;2810
Titolare;Freuler;C;6;imgBonus size-s imgBonus_6;1091
Riserva;Duda;C;6.75;;2910
Titolare;Augello;D;6;imgBonus size-s imgBonus_6;2087
Riserva;Gallo;D;7;;2086
