Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
16;29 Dic 2018;SDP Longobarda;74.5;2 - 1;Beercellona;67
16;29 Dic 2018;Scarsenal;71;1 - 2;Rubin kebab;75
16;29 Dic 2018;Rosicone;74;2 - 2;A.C Ughina;72
16;29 Dic 2018;A.C. Chiappa Fregna;82.5;3 - 4;Paris Saint-Gennar;84.5
