Squadra;FantaPunti;
MinnesodeTimbercimi;2685;
"No Good Team";2600;
"F.O.C ACCINA";2592,5;
"Quack Quack Team";2582,5;
"Harem City";2560;
Mignottingham;2559,5;
"Spartak Moseca ";2554;
"FC I Bastardi di Pizzighettone ";2505;
SAM-PDOR;2498,5;
"A.C.Quario di Venezia";2494;
