Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta;ModificatoreDifesaCasa;ModificatoreCentrocampoCasa;ModificatoreAttaccoCasa;ModificatoreDifesaTrasferta;ModificatoreCentrocampoTrasferta;ModificatoreAttaccoTrasferta
1;8 Mag 2026;Mignottingham;80;3 - 5;MAPI GROUP;91.5;+1;;;;+1.5;
1;8 Mag 2026;Lello Club;73;2 - 3;Filippo TurHertha;77;;;;;+1.5;
