Squadra;FantaPunti;
"Rubin kebab";98,5;
"SDP Longobarda ";94,5;
Rosicone;90;
"Paris Saint-Gennar";88;
"A.C Ughina";86,5;
"Beercellona ";84,5;
"A.C. Chiappa Fregna";83,5;
Scarsenal;82;
