Squadra;FantaPunti;
"SDP Longobarda ";2604,5;
"Paris Saint-Gennar";2551,5;
Rosicone;2515;
"Rubin kebab";2493;
"A.C Ughina";2486;
Scarsenal;2478;
"A.C. Chiappa Fregna";2434,5;
"Beercellona ";2370,5;
