Squadra;Utente;
"SDP Longobarda ";Crio;
"Paris Saint-Gennar";Rob;
Rosicone;Dom;
"Rubin kebab";Marco;
"A.C Ughina";Stanis;
Scarsenal;Dani;
"A.C. Chiappa Fregna";Oleh;
"Beercellona ";Gabriz;
