Squadra;FantaPunti
MAPI GROUP;2626,25
F.C. BarCialtrona;2621,5
Mignottingham;2544,25
Quack Quack Team;2540
Filippo TurHertha;2503,5
Boca Culos;2493,75
Cagasbunra;2493,25
Volpino FC;2481,75
Lello Club;2475
Al-Domoro;2470,25
