Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;PG
Mignottingham;63;19;6;11;55;41;2583,5;36
F.C. BarCialtrona;60;19;3;14;67;50;2656;36
Quack Quack Team;59;16;11;9;54;42;2577,75;36
Cagasbunra;58;18;4;14;43;41;2511;36
MAPI GROUP;57;16;9;11;63;51;2640;36
Filippo TurHertha;50;14;8;14;47;46;2523,25;36
Boca Culos;48;14;6;16;42;56;2511,25;36
Lello Club;41;10;11;15;41;50;2484,75;36
Volpino FC;40;10;10;16;42;55;2506,5;36
Al-Domoro;26;6;8;22;37;59;2483,25;36
