Squadra;Utente
MAPI GROUP;Crio
Quack Quack Team;Eeed
F.C. BarCialtrona;Dom
Mignottingham;Rob
Al-Domoro;Marco
Lello Club;Ghiacc
Cagasbunra;Nicho
Filippo TurHertha;Bepi
Boca Culos;Gabriz
Volpino FC;Stanis
Volpino FC;Oleh
