Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Carnesecchi;P;6.5;imgBonus size-s imgBonus_2;2299
Titolare;Gosens;D;5;imgBonus size-s imgBonus_6;1533
Titolare;Di Lorenzo;D;6.5;imgBonus size-s imgBonus_6;1822
Riserva;Frese;D;;;3402
Titolare;Wesley;D;6.5;;2120
Titolare;Mkhitaryan;C;5.5;;2124
Titolare;Cristante;C;6.5;;1080
Titolare;Pasalic;C;5.75;;1357
Titolare;Da Cunha;C;6;;3387
Titolare;Casadei;C;6;imgBonus size-s imgBonus_6;2808
Riserva;Ferguson E.;A;;;3753
Riserva;Butez;P;6.5;imgBonus size-s imgBonus_10;3545
Titolare;Tsimikas;D;6;;3817
Riserva;Lucca;A;;;3090
Titolare;Meister;A;5.5;;3731
Riserva;Fabbian;C;6;;3072
Riserva;Lazaro;D;6.5;imgBonus size-s imgBonus_9;2019
Riserva;Locatelli;C;5;imgBonus size-s imgBonus_6;1123
