Giornata;Data;Squadra;FantaPunti
18;;Hellas Madonna;85.00
18;;Bristol Rovers;79.50
18;;Scarsenal;78.50
18;;A.C Ughina;77.00
18;;Team Bubi;74.00
18;;Ajajax Brazorf;72.00
18;;Mignottingham;71.00
18;;Divano Kiev;60.50
