Giornata;Data;Squadra;FantaPunti
13;;Scarsenal;82.00
13;;Divano Kiev;79.00
13;;Mignottingham;74.50
13;;Hellas Madonna;71.50
13;;Bristol Rovers;69.00
13;;A.C Ughina;69.00
13;;Ajajax Brazorf;66.00
13;;Team Bubi;59.50
