Giornata;Data;Squadra;FantaPunti;ModificatoreDifesa;ModificatoreCentrocampo;ModificatoreAttacco
17;;MinnesodeTimbercimi;82.50;+1.5;;
17;;No Good Team;76.00;+1.5;;-0.5
17;;SAM-PDOR;74.50;+1;;
17;;A.C.Quario di Venezia;69.50;+1;;-1.5
17;;Spartak Moseca;68.00;;;
17;;Quack Quack Team;67.00;;;-0.5
17;;Harem City;65.00;;;
17;;FC I Bastardi di Pizzighettone;65.00;;;-0.5
17;;Mignottingham;64.50;;;-0.5
17;;F.O.C ACCINA;64.50;;;-0.5
