Giornata;Data;Squadra;FantaPunti
37;;Divano Kiev;83.50
37;;A.C Ughina;83.00
37;;Mignottingham;82.50
37;;Bristol Rovers;80.50
37;;Scarsenal;71.50
37;;Hellas Madonna;68.50
37;;Team Bubi;68.50
37;;Ajajax Brazorf;39.50
