Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;7 Lug 2020;Bristol Rovers;69.5;1 - 3;Divano Kiev;79.5
1;7 Lug 2020;Hellas Madonna;60.5;0 - 1;Ajajax Brazorf;69
