Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;26 Giu 2020;Divano Kiev;73.5;2 - 3;Bristol Rovers;77
1;26 Giu 2020;Ajajax Brazorf;72.5;2 - 3;Hellas Madonna;77.5
