Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;4 Lug 2020;Team Bubi;81;3 - 2;Mignottingham;72.5
1;4 Lug 2020;Hellas Madonna;81.5;3 - 2;Divano Kiev;73.5
