Giornata;Data;Squadra;FantaPunti
21;;Hellas Madonna;83.50
21;;Team Bubi;79.50
21;;Divano Kiev;74.00
21;;Bristol Rovers;70.00
21;;Mignottingham;67.00
21;;Scarsenal;62.50
21;;A.C Ughina;59.00
21;;Ajajax Brazorf;56.00
