Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;1 Mag 2021;Tettenham hotsbur;68;1 - 3;A.S. Temio;83.5
1;1 Mag 2021;Quack Quack Team;64.5;0 - 2;No Good Team;74.5
