Giornata;Data;Squadra;FantaPunti
12;;Mignottingham;83.00
12;;Hellas Madonna;80.00
12;;Scarsenal;71.00
12;;Team Bubi;71.00
12;;Bristol Rovers;69.00
12;;A.C Ughina;66.00
12;;Divano Kiev;66.00
12;;Ajajax Brazorf;65.00
