Squadra;FantaPunti
Blackjack e squillo di lusso SPA;90,5
MichelleComo1907;90,25
Mignottingham;88,5
Cagasbunra;88,5
PACCIANINAIKOS;88,25
FC SIGONELLA;88,25
F.O.C A.C Ina;84
Al Hito;83,75
Zapata sui piedi FC;81,5
Quack Quack Team;78,5
