Squadra;FantaPunti
MichelleComo1907;2576,25
Cagasbunra;2559,5
Mignottingham;2554
Blackjack e squillo di lusso SPA;2547,25
FC SIGONELLA;2539
PACCIANINAIKOS;2493,25
Quack Quack Team;2477,25
F.O.C A.C Ina;2455,5
Al Hito;2451,75
Zapata sui piedi FC;2381,5
