Squadra;FantaPunti;
"Divano Kiev";94,5;
"Team Bubi";89,5;
"A.C Ughina";89;
"Bristol Rovers ";86,5;
"Hellas Madonna";85,5;
"Ajajax Brazorf";84;
Mignottingham;83,5;
Scarsenal;82;
