Girone;Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;Extra
1;Mignottingham;18;6;0;0;13;5;455;
1;"Divano Kiev";12;4;0;2;10;7;428;
1;Scarsenal;2;0;2;4;6;10;412,5;
1;"Bristol Rovers ";2;0;2;4;6;13;420,5;
2;"Hellas Madonna";15;5;0;1;16;7;472;
2;"Team Bubi";10;3;1;2;14;10;459;
2;"Ajajax Brazorf";7;2;1;3;8;11;410;
2;"A.C Ughina";3;1;0;5;5;15;395,5;
