Squadra;FantaPunti;
"Hellas Madonna";2807;
"Divano Kiev";2753,5;
"Bristol Rovers ";2749;
Mignottingham;2749;
"Team Bubi";2744;
Scarsenal;2716;
"A.C Ughina";2652,5;
"Ajajax Brazorf";2524,5;
