Giornata;Data;Squadra;FantaPunti
6;;Mignottingham;83.50
6;;Divano Kiev;78.50
6;;Team Bubi;78.00
6;;Hellas Madonna;76.50
6;;Ajajax Brazorf;72.50
6;;Bristol Rovers;69.00
6;;Scarsenal;66.50
6;;A.C Ughina;64.00
