Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;15 Set 2018;Paris Saint-Gennar;74.5;2 - 1;SDP Longobarda;70.5
1;15 Set 2018;A.C Ughina;77;2 - 1;A.C. Chiappa Fregna;66.5
1;15 Set 2018;Rubin kebab;65.5;0 - 1;Rosicone;66
1;15 Set 2018;Beercellona;61.5;0 - 0;Scarsenal;65
