Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
1;22 Giu 2020;Scarsenal;73.5;2 - 1;A.C Ughina;69.5
1;22 Giu 2020;Bristol Rovers;60;0 - 0;Ajajax Brazorf;54.5
