Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
32;3 Mag 2019;Paris Saint-Gennar;60.5;0 - 3;Rubin kebab;80
32;3 Mag 2019;SDP Longobarda;73;2 - 2;A.C Ughina;73
32;3 Mag 2019;Scarsenal;82;3 - 1;Rosicone;71.5
32;3 Mag 2019;A.C. Chiappa Fregna;70.5;1 - 0;Beercellona;62.5
