Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta;ModificatoreDifesaCasa;ModificatoreCentrocampoCasa;ModificatoreAttaccoCasa;ModificatoreDifesaTrasferta;ModificatoreCentrocampoTrasferta;ModificatoreAttaccoTrasferta
1;7 Apr 2023;Scarsenal;70.75;2 - 1;No Go(o)d Team;66.75;;+1.5;-1;;;
1;7 Apr 2023;Cleveland Cadavers;69.25;1 - 0;Peppe Team;59;;+1;-0.5;;;-0.5
