Giornata;Data;Casa;PuntiCasa;Risultato;Trasferta;PuntiTrasferta
13;15 Dic 2018;A.C Ughina;71;1 - 0;Beercellona;63.5
13;15 Dic 2018;A.C. Chiappa Fregna;71;1 - 2;Rubin kebab;72
13;15 Dic 2018;Scarsenal;76;2 - 3;SDP Longobarda;78
13;15 Dic 2018;Rosicone;65;0 - 0;Paris Saint-Gennar;65.5
